"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0.187030129090653,0.868550698511673,0.0505621864558369,-0.112394841848174,-0.0767596126611983,-0.0155247807275713,-0.0128201450180627,0.0482134323335722,-0.20595663625202,0,-0.0486705495475114,0.022279701792398,0.0310427968230582,-0.0165533062402979,0.0689799416357017,-0.0741579624856186,-0.0415194477709296,-0.113140649394085,-0.0714708565520578,-0.000874140883303543,-0.0267017034465884,-0.0069657739111289,-0.221453281098697,0.0446301267847079,-0.149064555422968,-0.0474087704867755,0.0832676975722807,0.118687131668271,-0.0105799653183822,-0.114111113290585
0.216465227775761,-0.139193821584152,0.0838445699635015,0.821788079672258,0.15069857420115,0.0415541275081261,-0.0736070339024532,-0.161607946210387,-0.0177984612200955,0.0505712625864097,0.0371298324288898,-0.143064189017359,0.0352530291263357,-0.019185665820319,0.0859917507359332,0.0614206926089955,0.0708330932355547,0.000506402080836234,0.0324665307373161,0.0212517097171056,0.0289239912132074,0.175706289089326,-0.199249897476037,0.00577787337476989,0.0879890968281975,-0.0102198170887426,-0.241057143656793,-0.0347365197124763,0.0951801868545494,0.0611944421010895
0,0,-0.98764464316371,0,0,0,0,0.0562189839422192,0,0,0,0,0,0,0,0.0933001326450154,0,0,0,-0.0435530531825481,0,0,0,0,0.0371412559694125,0,0,0.0970372536011126,0,0
0,0,0,0.13153511843994,-0.250040429511025,0.425643771467014,0,0,0,0,0,0,0,0,0,0,0,0,0.238487342652759,0,0,0,-0.82234858558054,0,0,0,0.0766307198607751,0,0,0
0.179694221648851,0,0.279792195324392,-0.46686633864621,0,-0.135975099019008,-0.170115283656393,0.358019285631162,0.0661591357859243,0,-0.0152531229469427,-0.234670440274895,-0.097477101204758,0,-0.0711360998266956,0,-0.0908300867177623,0,0.0390970657117264,0,-0.0782304172596129,0,0.0820610760022888,-0.244606491438328,0,0.0465658040949866,0,0.143705825224116,-0.18928458126355,-0.529622908354544
0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.071506599158357,-0.989314312840719,0,0,0,0,0,0.0134448379441962,0,0,0,-0.0545729160783556,0,0,0,0,0,0,0,0,0,0,0,-0.0324341397347761,-0.0849696161249372,0,0,0,-0.0686529006226768
0,0,-0.0198407025728356,-0.922334587804518,-0.290723777588492,0,0.0152338532496829,0,0.0672683371442214,3.95927354266634e-05,0,0,0.141315823781697,-0.0181558385445122,0,0.0930594769827558,-0.0011713905919863,0.0529600368695,0.0637688565296664,0,0,0,0.0287376219807357,-0.138696523635979,0,0.0161231736983637,0,-0.0555317766427127,0.0197245971589701,0
0,0.991207869936379,0,0,-0.00471947066449279,0,0,-0.0129090558172614,-0.0300558910019236,0,0.0322553322667952,0.0596077874610839,0.0574244106922642,0,0,0,0,0,0,-0.0864523568239216,0,0,0,0.0310644738193394,0,0,0,0,0,0.00919867402055656
0,0,-0.986989075294067,0,0,0,0.0592435691809835,0,-0.0794833881639238,0,0,0,0,0.105667935254616,0,0,0,0,0,0,0,0,0,0,-0.0679508109318544,0,0,0,0,0.0155605436785735
0,0,0,0,0,0,0,0,0,0,0,0,0,0.917760113344228,0,0,0,0,0,0,0,0,0,0.39713520915979,0,0,0,0,0,0
0,-0.86533286653415,0.0248555894404787,0,0.225742464956436,0.0572418774435301,0.282413196993748,0.0305560231124167,0.132792973570861,-0.0425652390227138,-0.018020274237044,0,0,0,0,0.146956408799879,-0.103111780583835,-0.135920283916703,-0.0951376874528248,0.0944744775942657,0.0582049791083694,0,0,0,0,0,-0.022234245704476,0.0325479141404123,0.0811739236690886,-0.125194406238858
