,Methods,Scenario,n,type,Values,std
162,DGCCA,Linear,100,Recall,0.04255733693994835,0.012222381870972547
163,DGCCA,Linear,100,FS,0.07885075536953445,0.022646879097722155
164,DGCCA,Linear,100,MCC,-0.04455861458036072,0.07347589454014031
165,KSSHIBA,Linear,100,Specificity,0.9488321832183221,0.002757453742892773
166,KSSHIBA,Linear,100,Precision,0.6620000000000001,0.019447936194419757
167,KSSHIBA,Linear,100,Recall,0.04941817920448011,0.0013891920184532578
168,KSSHIBA,Linear,100,FS,0.09197074710006684,0.0025935256412928506
169,KSSHIBA,Linear,100,MCC,-0.0037820640295738194,0.008980143194016129
170,SNGCCA,Linear,100,Specificity,0.9997467215662215,0.0018752115357270893
171,SNGCCA,Linear,100,Precision,0.9953333333333333,0.03432524176494933
172,SNGCCA,Linear,100,Recall,0.9528249120160885,0.07844982430149988
173,SNGCCA,Linear,100,FS,0.9725894368547792,0.05768706865664388
174,SNGCCA,Linear,100,MCC,0.971812998410862,0.059306438372293234
175,RGCCA,Nonlinear,100,Specificity,0.949693246517976,0.01682520616823418
176,RGCCA,Nonlinear,100,Precision,0.6266666666666667,0.1282358937444756
177,RGCCA,Nonlinear,100,Recall,0.04974574257136388,0.009868759634635347
178,RGCCA,Nonlinear,100,FS,0.09216507794454701,0.018304500164768783
179,RGCCA,Nonlinear,100,MCC,-0.0012940432320122973,0.05902369566214955
180,SGCCA,Nonlinear,100,Specificity,0.9522657695202651,0.014132271605220976
181,SGCCA,Nonlinear,100,Precision,0.6406666666666666,0.10827742146911329
182,SGCCA,Nonlinear,100,Recall,0.05139697258664484,0.008560258858339248
183,SGCCA,Nonlinear,100,FS,0.095149847141134,0.01583596014759963
184,SGCCA,Nonlinear,100,MCC,0.008158845654704925,0.05035237003317829
185,DGCCA,Nonlinear,100,Specificity,0.9071112958315269,0.01553623952986864
186,DGCCA,Nonlinear,100,Precision,0.3033333333333333,0.11090536506409418
187,DGCCA,Nonlinear,100,Recall,0.024334401850181125,0.0088844539248426
188,DGCCA,Nonlinear,100,FS,0.04504883528745687,0.016439240165034476
189,DGCCA,Nonlinear,100,MCC,-0.15203613886939582,0.053357354170703836
190,KSSHIBA,Nonlinear,100,Specificity,0.9095761776959417,0.006369435907770365
191,KSSHIBA,Nonlinear,100,Precision,0.2646666666666666,0.0561387170814898
192,KSSHIBA,Nonlinear,100,Recall,0.022275248316006743,0.004629673251579776
193,KSSHIBA,Nonlinear,100,FS,0.04109143337587807,0.008552838554062586
194,KSSHIBA,Nonlinear,100,MCC,-0.1535783096159186,0.024749497497410386
195,SNGCCA,Nonlinear,100,Specificity,0.9912649535354217,0.006830122248574399
196,SNGCCA,Nonlinear,100,Precision,0.8319999999999999,0.13215479139588127
197,SNGCCA,Nonlinear,100,Recall,0.9828691308691309,0.07503594524924721
198,SNGCCA,Nonlinear,100,FS,0.8967726325481948,0.10050804331302887
199,SNGCCA,Nonlinear,100,MCC,0.8978172998082153,0.09979302781588612
200,RGCCA,Linear,200,Specificity,1.0,0.0
201,RGCCA,Linear,200,Precision,1.0,0.0
202,RGCCA,Linear,200,Recall,0.0684185736596097,0.004102677602256595
203,RGCCA,Linear,200,FS,0.1280469059132117,0.0071794968321204425
204,RGCCA,Linear,200,MCC,0.2107919202359551,0.009931605275645872
205,SGCCA,Linear,200,Specificity,0.999072689395865,0.0030012895530974583
206,SGCCA,Linear,200,Precision,0.9780000000000001,0.07121485487983219
207,SGCCA,Linear,200,Recall,0.06246478038817476,0.006177458633304109
208,SGCCA,Linear,200,FS,0.11740743376467763,0.01133767240269575
209,SGCCA,Linear,200,MCC,0.1921395835597235,0.026588053649472223
210,DGCCA,Linear,200,Specificity,0.9696523383880546,0.013976274496848427
211,DGCCA,Linear,200,Precision,0.4253333333333334,0.26004785884311543
212,DGCCA,Linear,200,Recall,0.02048840147909608,0.012796007701965421
213,DGCCA,Linear,200,FS,0.039089862122376855,0.024385214079529927
214,DGCCA,Linear,200,MCC,-0.031455575437039,0.08541214050519086
215,KSSHIBA,Linear,200,Specificity,0.9546542620686279,0.00033613133651588394
216,KSSHIBA,Linear,200,Precision,0.3333333333333334,1.1102230246251565e-16
217,KSSHIBA,Linear,200,Recall,0.013176863526692116,5.670919501309729e-05
218,KSSHIBA,Linear,200,FS,0.025351547550473502,0.00010495724237811116
219,KSSHIBA,Linear,200,MCC,-0.09933980584503996,0.0010586381100301365
220,SNGCCA,Linear,200,Specificity,0.9997039767989091,0.0015238313647638817
221,SNGCCA,Linear,200,Precision,0.9886666666666666,0.05816069692383909
222,SNGCCA,Linear,200,Recall,0.9563115907653383,0.10779851872262868
223,SNGCCA,Linear,200,FS,0.9707030313655488,0.08841689820506153
224,SNGCCA,Linear,200,MCC,0.9707290774461321,0.08778404858312686
225,RGCCA,Nonlinear,200,Specificity,0.9757305230913257,0.006622216341158504
226,RGCCA,Nonlinear,200,Precision,0.5066666666666666,0.1353185542012296
227,RGCCA,Nonlinear,200,Recall,0.02576166741710482,0.006880068359111449
228,RGCCA,Nonlinear,200,FS,0.0490284348829405,0.013089814509264828
229,RGCCA,Nonlinear,200,MCC,0.004775318972963429,0.04319719106522877
230,SGCCA,Nonlinear,200,Specificity,0.9752813192107452,0.006719525999225998
231,SGCCA,Nonlinear,200,Precision,0.4946666666666667,0.13894203427648844
232,SGCCA,Nonlinear,200,Recall,0.025284596764333044,0.007061491493164062
233,SGCCA,Nonlinear,200,FS,0.04810742956547506,0.013435154698320061
234,SGCCA,Nonlinear,200,MCC,0.0018162734841906968,0.04408166620973945
235,DGCCA,Nonlinear,200,Specificity,0.9660626034737593,0.008198833509116753
236,DGCCA,Nonlinear,200,Precision,0.3626666666666666,0.14432063069583795
